name_id,name_en
"kotak uang dari logam","money boxes of metal"
"ember pel","mop buckets"
"alat pengepel",mops*
"ember pel pemeras","mop wringer buckets"
"pemeras pel","mop wringers"
"mortir untuk penggunaan dapur","mortars for kitchen use"
"ubin seni mosaik yang terbuat dari kaca dan keramik, bukan untuk bangunan","mosaic art tiles made of glass and ceramic, not for building"
"mosaik kaca dan ubin keramik, bukan untuk bangunan","mosaics of glass and ceramic tiles, not for building"
"mosaik kaca, bukan untuk bangunan","mosaics of glass, not for building"
"perangkap tikus","mouse traps"
"cangkir kue muffin","muffin baking cups"
"panci muffin","muffin pans"
"mug, bukan dari logam mulia","mugs, not of precious metal"
"mug dari logam mulia","mugs of precious metal"
"mural mosaik kaca","murals of mosaics of glass"
"sikat jamur","mushroom brushes"
"sisir kumis","mustache combs"
"pot mustard","mustard pots"
"sikat kuku","nail brushes"
"dispenser serbet untuk keperluan rumah tangga","napkin dispensers for household purposes"
"pemegang serbet, bukan dari logam mulia","napkin holders, not of precious metal"
"pemegang serbet dari logam mulia","napkin holders of precious metal"
"cincin serbet","napkin rings"
"cincin serbet, bukan dari logam mulia","napkin rings, not of precious metal"
"cincin serbet dari logam mulia","napkin rings of precious metal"
"pemegang botol ritsleting neoprene","neoprene zippered bottle holders"
"telur sarang, buatan","nest eggs, artificial"
"sarung tangan nitril untuk keperluan rumah tangga","nitrile gloves for household purposes"
"tetesan kopi non-listrik untuk menyeduh kopi","non-electric coffee drippers for brewing coffee"
"sisir non-listrik","non-electric combs"
"wajan non-listrik","non-electric frying pans"
"lengan pengupas bawang putih non-listrik","non-electric garlic peeler sleeves"
"kisi-kisi non-listrik [peralatan memasak]","non-electric griddles [cooking utensils]"
"penghilang serat non-listrik","non-electric lint removers"
"pembuat pasta non-listrik untuk keperluan rumah tangga","non-electric pasta makers for domestic use"
"teko non-listrik","non-electric teapots"
"sconce dinding non-listrik [tempat lilin]","non-electric wall sconces [candle holders]"
"wajan non-listrik","non-electric woks"
"pengumpan hewan non-mekanis","non-mechanized animal feeders"
"waterer hewan peliharaan non-mekanis dalam sifat dispenser air dan cairan portabel untuk hewan peliharaan","non-mechanized pet waterers in the nature of portable water and fluid dispensers for pets"
"mesin mie, dioperasikan dengan tangan","noodle machines, hand-operated"
"nozel untuk kaleng penyiraman","nozzles for watering cans"
"nozel untuk menyiram selang","nozzles for watering hose"
"pemecah kacang",nutcrackers
"pemecah kacang, bukan dari logam mulia","nutcrackers, not of precious metal"
"pemecah kacang dari logam mulia","nutcrackers of precious metal"
"pala pala","nutmeg graters"
"gelas opal","opal glass"
"gelas opaline","opaline glass"
"bola kaca hias","ornamental glass spheres"
"sikat gigi",toothbrushes
"sikat gigi elektrik","toothbrushes, electric"
"sikat gigi, listrik atau non-listrik","toothbrushes, electric or non-electric"
"sikat gigi untuk hewan","toothbrushes for animals"
"sikat gigi untuk bayi","toothbrushes for babies"
"sikat gigi untuk anak-anak","toothbrushes for children"
"sikat gigi, non-listrik","toothbrushes, non-electric"
"wadah sikat gigi","toothbrush holders"
"pemegang gelas sikat gigi","toothbrush tumbler holders"
"gelas sikat gigi","toothbrush tumblers"
"pemegang tusuk gigi, bukan dari logam mulia","toothpick holders, not of precious metal"
"patung hias yang terbuat dari porselen","ornamental sculptures made of porcelain"
"ornamen berbentuk miniatur yang terbuat dari keramik","ornaments in miniature form made of ceramic"
"ornamen berbentuk miniatur yang terbuat dari porselen","ornaments in miniature form made of china"
"ornamen dalam bentuk mini yang terbuat dari kaca","ornaments in miniature form made of glass"
"ornamen berbentuk miniatur yang terbuat dari porselen","ornaments in miniature form made of porcelain"
"ornamen dalam bentuk mini yang terbuat dari terakota","ornaments in miniature form made of terra-cotta"
"ornamen yang terbuat dari keramik","ornaments made of ceramic"
"ornamen yang terbuat dari cina","ornaments made of china"
"ornamen yang terbuat dari kristal","ornaments made of crystal"
"ornamen yang terbuat dari tembikar","ornaments made of earthenware"
"ornamen yang terbuat dari porselen","ornaments made of porcelain"
"ornamen yang terbuat dari terra-cotta","ornaments made of terra-cotta"
"ornamen [patung] terbuat dari keramik","ornaments [statues] made of ceramic"
"ornamen [patung] terbuat dari porselen","ornaments [statues] made of china"
"ornamen [patung] terbuat dari tembikar","ornaments [statues] made of earthenware"
"ornamen [patung] terbuat dari kaca","ornaments [statues] made of glass"
"ornamen [patung] yang terbuat dari porselen","ornaments [statues] made of porcelain"
"tusuk gigi",toothpicks
"alat pemeras tortilla, [peralatan dapur] non-listrik","tortilla presses, non-electric [kitchen utensils]"
"rak handuk [perlengkapan kamar mandi]","towel racks [bathroom fixtures]"
"rel handuk","towel rails"
"rel dan cincin handuk","towel rails and rings"
"rel handuk, bukan dari logam mulia","towel rails, not of precious metal"
"cincin handuk, bukan dari logam mulia","towel rings, not of precious metal"
"cincin handuk dari logam mulia","towel rings of precious metal"
"cangkir pelatihan untuk bayi","training cups for babies"
"cangkir pelatihan untuk bayi dan anak-anak","training cups for babies and children"
"baki untuk keperluan rumah tangga, bukan dari logam","trays for domestic purposes, not of metal"
"baki untuk keperluan rumah tangga, bukan dari logam mulia","trays for domestic purposes, not of precious metal"
"baki untuk keperluan rumah tangga, dari logam","trays for domestic purposes, of metal"
"baki untuk keperluan rumah tangga, dari logam mulia","trays for domestic purposes, of precious metal"
"baki untuk keperluan rumah tangga","trays for household purposes"
"nampan untuk digunakan dalam polishing kuku","trays for use in fingernail polishing"
"baki kertas, untuk keperluan rumah tangga","trays of paper, for household purposes"
"mangkuk sepele","trifle bowls"
"piala keramik","trophies of ceramic"
"piala kaca","trophies of glass"
"piala porselen","trophies of porcelain"
"piala porselen, keramik atau kaca","trophies of porcelain, ceramic or glass"
"Alat Pengepres celana panjang","trouser presses"
"setrika celana panjang, listrik","trouser presses, electric"
"setrika celana, non-listrik","trouser presses, non-electric"
"usungan celana","trouser stretchers"
"jarum penopang","trussing needles"
"jatuh pengering bola [peralatan rumah tangga]","tumble dryer balls [household utensils]"
"Tumbler [gelas minum]","tumblers [drinking glasses]"
"gelas [wadah minuman]","tumblers [drinking vessels]"
"Tumbler untuk digunakan sebagai gelas minum","tumblers for use as drinking glasses"
"turners [peralatan dapur]","turners [kitchen utensils]"
"perangkat pengusir tikus elektronik ultrasonik","ultrasonic electronic rodent repellent devices"
"gelas tidak dikerjakan, kecuali gelas yang digunakan dalam bangunan","unworked glass, except glass used in building"
"papan kaca atau keramik tegak lurus","upright signboards of glass or ceramic"
guci*,urns*
"guci, bukan dari logam mulia","urns, not of precious metal"
"peralatan dan wadah untuk keperluan rumah tangga dan dapur","utensils and containers for household and kitchen use"
"peralatan untuk barbekyu, yaitu, garpu, penjepit, pemutar","utensils for barbecues, namely, forks, tongs, turners"
"peralatan untuk keperluan rumah tangga","utensils for household purposes"
"sumbat botol vakum khusus disesuaikan untuk digunakan dengan botol anggur","vacuum bottle stoppers specially adapted for use with wine bottles"
"pompa vakum untuk botol anggur","vacuum pumps for wine bottles"
"alat penguap untuk parfum, kosong","vaporizers for perfume, empty"
"vas bunga",vases
"ornamen [patung] yang terbuat dari terra-cotta","ornaments [statues] made of terra-cotta"
"sapu luar ruangan","outdoor brooms"
"sarung tangan oven","oven mitts"
"piring tahan oven","ovenproof dishes"
"rak oven-ke-meja","oven-to-table racks"
"peralatan oven",ovenware
"bantalan logam untuk dibersihkan","pads of metal for cleaning"
"cat kotak ember","paint bucket grids"
"ember cat","paint buckets"
"gelas dicat","painted glassware"
"panci pancake","pancake pans"
"panci untuk digunakan dengan kompor induksi","pans for use with induction hobs"
"gelas kertas","paper cups"
"piring kertas","paper plates"
"gantungan handuk kertas","paper towel holders"
"pembuat pasta, dioperasikan dengan tangan","pasta makers, hand-operated"
"panci pasta","pasta pans"
"garpu penyajian pasta","pasta serving forks"
"papan kue","pastry boards"
"sikat pastry","pastry brushes"
paten,patens
"paten, bukan dari logam mulia","patens, not of precious metal"
"paten logam mulia","patens of precious metal"
"tempat sampah","pedal bins"
"penggiling lada, dioperasikan dengan tangan","pepper mills, hand-operated"
"pot lada","pepper pots"
"pot lada, bukan dari logam mulia","pepper pots, not of precious metal"
"pot lada dari logam mulia","pepper pots of precious metal"
"bertengger untuk sangkar burung","perches for birdcages"
"pengabut parfum, kosong","perfume atomizers, empty"
"botol parfum","perfume bottles"
"botol parfum, kosong","perfume bottles, empty"
"pembakar parfum","perfume burners"
"alat penguap parfum","perfume vaporizers"
"alu untuk penggunaan dapur","pestles for kitchen use"
"sikat hewan peliharaan, listrik","pet brushes, electric"
"mangkuk minum hewan peliharaan","pet drinking bowls"
"memberi makan dan minum mangkuk","pet feeding and drinking bowls"
"alat makan hewan peliharaan diaktifkan oleh sensor laser","pet feeding apparatus activated by laser sensors"
"piring makan hewan peliharaan","pet feeding dishes"
"sarung tangan perawatan hewan peliharaan","pet grooming gloves"
"hidangan pie","pie dishes"
"panci pai","pie pans"
"server pie","pie servers"
"bulu babi untuk pembuatan kuas","pig bristles for brush-making"
"celengan, bukan dari logam","piggy banks, not of metal"
"celengan, bukan dari logam mulia","piggy banks, not of precious metal"
"celengan logam","piggy banks of metal"
"kotak pil untuk penggunaan pribadi","pill boxes for personal use"
"kotak pil [bukan untuk keperluan medis]","pill boxes [not for medical purposes]"
"kotak pil, bukan dari logam mulia, untuk penggunaan pribadi","pill boxes, not of precious metal, for personal use"
"kotak pil dari logam mulia untuk penggunaan pribadi","pill boxes of precious metal for personal use"
"gelas pint","pint glasses"
"teko besar",pitchers
"kulit pizza","pizza peels"
"batu pizza","pizza stones"
"pemegang kartu tempat","place card holders"
"alas piring dari bambu","place mats of bamboo"
"alas piring dari kulit","place mats of leather"
"alas piring dari logam","place mats of metal"
"alas piring dari plastik bukan pengganti tekstil","place mats of plastic not being a textile substitute"
"alas piring dari karet","place mats of rubber"
"keranjang tanaman","plant baskets"
"vas, bukan dari logam mulia","vases, not of precious metal"
"vas dari logam mulia","vases of precious metal"
"sikat sayur","vegetable brushes"
"piring sayuran","vegetable dishes"
"tumbuk sayuran","vegetable mashers"
"penjepit sayur","vegetable tongs"
"kapal logam untuk membuat es dan minuman es","vessels of metal for making ices and iced drinks"
"kejang cuka","vinegar cruets"
"serat silika vitreous, selain untuk penggunaan tekstil","vitreous silica fibers, other than for textile use"
"kacamata vodka","vodka glasses"
"setrika wafel, bukan listrik","waffle irons, non-electric"
"piring sabun yang terpasang di dinding","wall-mounted soap dishes"
"sikat wallpaper","wallpaper brushes"
"plak dinding terbuat dari porselen","wall plaques made of china"
"plak dinding terbuat dari kristal","wall plaques made of crystal"
"plak dinding terbuat dari tembikar","wall plaques made of earthenware"
"plak dinding terbuat dari porselen","wall plaques made of porcelain"
"plak dinding terbuat dari terra cotta","wall plaques made of terra cotta"
"wan [mangkuk sup gaya Jepang]","wan [Japanese-style soup bowls]"
"mencuci tas menjadi wadah rias, pas","wash bags being vanity cases, fitted"
"mencuci tas, pas, untuk membawa perlengkapan mandi","wash bags, fitted, for carrying toiletries"
"papan cuci","washing boards"
"sikat cuci","washing brushes"
wastafel,washtubs
"alat air untuk membersihkan gigi dan gusi","water apparatus for cleaning teeth and gums"
"botol air, kosong, untuk sepeda","water bottles, empty, for bicycles"
"botol air untuk sepeda","water bottles for bicycles"
"botol air terjual kosong","water bottles sold empty"
"kafilah air","water carafes"
"kaleng penyiraman","watering cans"
"perangkat penyiraman","watering devices"
"tangki air untuk ikan hidup [indoor aquaria]","water tanks for live fish [indoor aquaria]"
"peralatan pemoles lilin, non-listrik, untuk sepatu","wax-polishing appliances, non-electric, for shoes"
"gelas bir gandum","wheat beer glasses"
"whisks, non-listrik, untuk keperluan rumah tangga","whisks, non-electric, for household purposes"
"gelas wiski","whisky glasses"
"ceret bersiul","whistling kettles"
"keranjang belanja anyaman untuk keperluan rumah tangga","wicker shopping baskets for domestic use"
"kotak jendela",window-boxes
"kotak jendela terbuat dari beton","window boxes made of concrete"
"kotak jendela yang terbuat dari plastik","window boxes made of plastics"
"kotak jendela terbuat dari batu","window boxes made of stone"
"kotak jendela terbuat dari kayu","window boxes made of wood"
"kaca jendela untuk kendaraan, belum selesai","window glass for vehicles, unfinished"
"puff bedak","powder puffs"
"menyimpan guci","preserve jars"
"pressure cooker, non-listrik","pressure cookers, non-electric"
"undangan cetak terbuat dari kaca","printed invitations made of glass"
"cetakan puding","pudding molds"
"dispenser pompa untuk bumbu","pump dispensers for condiments"
"dispenser pompa untuk keperluan rumah tangga","pump dispensers for household purposes"
"mendorong sapu","push brooms"
"perangkap tikus","rat traps"
"gelas minum yang dapat diisi ulang dengan charger ponsel bawaan","rechargeable drinking cups with built-in cell phone charger"
"gelas minum isi ulang dengan teknologi kontrol suhu elektronik","rechargeable drinking cups with electronic temperature control technology"
"wadah minuman terisolasi yang dapat diisi ulang dengan charger ponsel bawaan","rechargeable insulated beverage containers with built-in cell phone charger"
"wadah minuman terisolasi yang dapat diisi ulang dengan teknologi kontrol suhu elektronik","rechargeable insulated beverage containers with electronic temperature control technology"
"cangkir terisolasi stainless steel yang dapat diisi ulang dengan charger ponsel bawaan","rechargeable stainless steel insulated cups with built-in cell phone charger"
"cangkir terisolasi stainless steel isi ulang dengan teknologi kontrol suhu elektronik","rechargeable stainless steel insulated cups with electronic temperature control technology"
"kotak resep [wadah rumah tangga]","recipe boxes [household containers]"
"pengaduk plastik daur ulang untuk minuman","recyclable stirrers of plastics for beverages"
"reed diffusers menjadi perangkat untuk menyebar parfum, dijual kosong","reed diffusers being devices for diffusing perfumes, sold empty"
"kapsul cappuccino isi ulang dari plastik","refillable cappuccino capsules of plastic"
"kapsul kakao isi ulang dari plastik","refillable cocoa capsules of plastic"
"kapsul kopi isi ulang plastik","refillable coffee capsules of plastic"
"kapsul kopi ginseng isi ulang plastik","refillable ginseng coffee capsules of plastic"
"kapsul teh isi ulang plastik","refillable tea capsules of plastic"
"botol pendingin","refrigerating bottles"
"patung religi dari porselen, keramik, gerabah atau gelas","religious statues of porcelain, ceramic, earthenware or glass"
"kepala pengganti untuk sikat gigi listrik","replacement heads for electric toothbrushes"
"kapsul kopi barley yang bisa di resuable dari plastik","resuable barley coffee capsules of plastic"
"kapsul plastik cappuccino yang dapat direset","resuable cappuccino capsules of plastic"
"kapsul plastik kakao yang bisa direset","resuable cocoa capsules of plastic"
"mobil model skala [ornamen] dari keramik","scale model cars [ornaments] of ceramic"
"mobil model skala [ornamen] dari cina","scale model cars [ornaments] of china"
"mobil model skala [ornamen] dari gerabah","scale model cars [ornaments] of earthenware"
"mobil model skala [ornamen] dari kaca","scale model cars [ornaments] of glass"
"mobil model skala [ornamen] dari porselen","scale model cars [ornaments] of porcelain"
"mobil model skala [ornamen] dari terra-cotta","scale model cars [ornaments] of terra-cotta"
"model skala [ornamen] dari keramik","scale models [ornaments] of ceramic"
"model skala [ornamen] gerabah","scale models [ornaments] of earthenware"
"model skala [ornamen] dari kaca","scale models [ornaments] of glass"
"model skala [ornamen] porselen","scale models [ornaments] of porcelain"
"model skala [ornamen] terakota","scale models [ornaments] of terra-cotta"
"schooners [barang pecah belah]","schooners [glassware]"
"sendok untuk keperluan rumah tangga","scoops for household purposes"
"sendok untuk pembuangan limbah hewan peliharaan untuk keperluan rumah tangga","scoops for the disposal of pet waste for household purposes"
"sabut gosok","scouring pads"
"sabut gosok untuk keperluan rumah tangga","scouring pads for household purposes"
"menggosok spons","scouring sponges"
"pencakar untuk keperluan rumah tangga","scrapers for household purposes"
"sikat gosok","scrubbing brushes"
"Spons gosok","scrub sponges"
"patung-patung porselen, keramik, gerabah atau kaca","sculptures of porcelain, ceramic, earthenware or glass"
"gelas pengaman setengah jadi","semi-finished safety glass"
"gelas setengah jadi, kecuali kaca yang digunakan dalam bangunan","semi-worked glass, except glass used in building"
"piring untuk hidangan","services [dishes]"
"layanan [piring], bukan dari logam mulia","services [dishes], not of precious metal"
"layanan [piring] dari logam mulia","services [dishes] of precious metal"
"mangkuk saji","serving bowls"
"piring hidangan untuk penyajian","serving dishes"
"garpu saji","serving forks"
"sendok saji","serving ladles"
"piring saji","serving plates"
"piring saji","serving platters"
"piring-piring saji, bukan dari logam mulia","serving platters, not of precious metal"
"piring-piring saji dari logam mulia","serving platters of precious metal"
"sendok saji","serving spoons"
"kotak sampah untuk hewan peliharaan","litter boxes for pets"
"kerupuk lobster","lobster crackers"
"wadah rumah tangga yang bisa dikunci, bukan dari logam, untuk makanan","lockable household containers, not of metal, for food"
"spons loofah","loofah sponges"
"wadah lotion, kosong, untuk keperluan rumah tangga","lotion containers, empty, for household purposes"
"kaca bercahaya, bukan untuk bangunan","luminous glass, not for building"
"kotak makan siang","lunch boxes"
"kotak makan siang yang terbuat dari logam","lunch boxes made of metal"
"kotak makan siang yang terbuat dari plastik","lunch boxes made of plastic"
"ember makan siang","lunch pails"
majolika,majolica
"aplikator rias","make-up applicators"
"sikat rias","make-up brushes"
"peralatan untuk menghilangkan make-up","make-up removing appliances"
"spons make-up","make-up sponges"
"sikat surai","mane brushes"
"palung untuk hewan","mangers for animals"
"mangers untuk sapi","mangers for cows"
"mangers untuk kuda","mangers for horses"
"mangers untuk domba","mangers for sheep"
"sikat gigi manual","manual toothbrushes"
"injektor rendaman","marinade injectors"
pot,marmites
"garpu memanggang marshmallow","marshmallow toasting forks"
"gelas martini","martini glasses"
"tikar plastik untuk gelas minum, bukan pengganti tekstil","mats of plastic for drinking glasses, not being a textile substitute"
"nampan makan","meal trays"
"mesin pemotong daging, untuk keperluan rumah tangga, non-listrik","meat cutting machines, for household purposes, non-electric"
"penggiling daging, dioperasikan dengan tangan","meat grinders, hand-operated"
"penggiling daging, non-listrik","meat grinders, non-electric"
"injektor daging","meat injectors"
"benang gigi obat","medicated dental floss"
menorah,menorahs
"pemegang kartu menu","menu card holders"
"spons jala untuk menggosok tubuh","mesh sponges for scrubbing the body"
"spons jala terbuat dari nilon untuk membersihkan tubuh","mesh sponges made of nylon for cleaning the body"
"panci portabel dari kaleng timah untuk memasak nasi","mess-tins for cooking rice"
"ember logam","metal buckets"
"panci masak logam","metal cooking pans"
"bantalan gosok logam","metal scouring pads"
"wol logam untuk dibersihkan","metal wool for cleaning"
"spons mikrodermabrasi untuk penggunaan kosmetik","microdermabrasion sponges for cosmetic use"
"kain microfiber untuk membersihkan","microfiber cloths for cleaning"
"kaleng susu","milk cans"
"susun susu, dioperasikan dengan tangan","milk frothers, hand-operated"
"susun susu, non-listrik","milk frothers, non-electric"
"kendi susu","milk jugs"
"panci susu","milk pans"
"model mobil miniatur [ornamen] dari keramik","miniature car models [ornaments] of ceramic"
"model mobil miniatur [ornamen] dari china","miniature car models [ornaments] of china"
"model mobil miniatur [ornamen] dari gerabah","miniature car models [ornaments] of earthenware"
"model mobil miniatur [ornamen] dari kaca","miniature car models [ornaments] of glass"
"model mobil miniatur [ornamen] dari porselen","miniature car models [ornaments] of porcelain"
"sarung tangan abrasif untuk menggosok tubuh","abrasive gloves for scrubbing the body"
"bantalan abrasif untuk keperluan dapur atau rumah tangga","abrasive pads for kitchen or household purposes"
"bantalan abrasif untuk keperluan dapur","abrasive pads for kitchen purposes"
"spons abrasif untuk menggosok kulit","abrasive sponges for scrubbing the skin"
"sikat cuci tahan asam yang digunakan untuk aplikasi asam ke kendaraan untuk tujuan pembersihan","acid-proof wash brushes used for the application of acid to vehicles for cleaning purposes"
"wadah rumah tangga portabel serba guna","all-purpose portable household containers"
"botol air aluminium","aluminium water bottles"
"botol air aluminium, kosong","aluminium water bottles, empty"
"pengumpan hewan yang diaktifkan hewan","animal-activated animal feeders"
"pengumpan ternak yang diaktifkan hewan","animal-activated livestock feeders"
"pengumpan hewan peliharaan yang diaktifkan hewan","animal-activated pet feeders"
"bulu binatang [sikat]","animal bristles [brushware]"
"sarung tangan hewan","animal grooming gloves"
Penjepit,"serving tongs"
"nampan saji terbuat dari rotan","serving trays made of rattan"
"nampan saji, bukan dari logam mulia","serving trays, not of precious metal"
"nampan saji dari logam mulia","serving trays of precious metal"
"servingware [piring] untuk menyajikan makanan","servingware [dishes] for serving food"
"servingware [kapal] untuk menyajikan minuman","servingware [vessels] for serving beverages"
"mangkuk dangkal","shallow bowls"
"mangkuk cukur","shaving bowls"
"sikat cukur","shaving brushes"
"sikat cukur dari rambut luak","shaving brushes of badger hair"
"dudukan sikat cukur","shaving brush stands"
"pot cukur","shaving pots"
"gelas sherry","sherry glasses"
"tandu kemeja","shirt stretchers"
"sikat sepatu","shoe brushes"
"sendok sepatu","shoe horns"
"penyemir sepatu sepon","shoe shine sponges"
"sepon penyemir sepatu dan kain","shoe shine sponges and cloths"
"usungan sepatu dari kayu","shoe stretchers of wood"
"pohon sepatu","shoe trees"
"keranjang belanja untuk keperluan rumah tangga","shopping baskets for domestic use"
"gelas tembakan","shot glasses"
"shower caddies","shower caddies"
"ayakan untuk keperluan rumah tangga","sieves for household purposes"
"model mobil miniatur [ornamen] dari terra-cotta","miniature car models [ornaments] of terra-cotta"
"bola cermin","mirror balls"
"guci apoteker","apothecary jars"
"alat untuk raclette, non-listrik","apparatus for raclette, non-electric"
"peralatan untuk menghilangkan make-up, listrik","appliances for removing make-up, electric"
"peralatan untuk menghilangkan make-up, non-listrik","appliances for removing make-up, non-electric"
"aplikator untuk menerapkan lotion wajah kosmetik","applicators for applying cosmetic facial lotions"
"aplikator untuk menerapkan lotion kosmetik untuk tubuh","applicators for applying cosmetic lotions for the body"
"aplikator untuk menerapkan lotion kosmetik untuk wajah","applicators for applying cosmetic lotions for the face"
"aplikator untuk menerapkan lotion kosmetik untuk rambut","applicators for applying cosmetic lotions for the hair"
"aplikator untuk menerapkan lotion kosmetik untuk tangan","applicators for applying cosmetic lotions for the hands"
"aplikator untuk menerapkan lotion kosmetik untuk kulit","applicators for applying cosmetic lotions for the skin"
"aplikator untuk menerapkan lotion kulit kosmetik","applicators for applying cosmetic skin lotions"
"kerudung akuarium","aquarium hoods"
"ornamen akuarium dari porselen","aquarium ornaments of porcelain"
"artikel untuk keperluan pembersihan","articles for cleaning purposes"
"panci asparagus","asparagus pans"
"Penjepit untuk menyajikan asparagus","asparagus serving tongs"
"saringan untuk penggunaan dapur","sieves for kitchen use"
"saringan [peralatan rumah tangga]","sieves [household utensils]"
"pengayak untuk penggunaan dapur","sifters for kitchen use"
"pengayak [peralatan rumah tangga]","sifters [household utensils]"
"papan kaca","signboards of glass"
"papan nama dari porselen","signboards of porcelain"
"papan nama dari porselen atau kaca","signboards of porcelain or glass"
"cangkir kue silikon","silicone baking cups"
"tikar kue silikon","silicone baking mats"
"cangkir sipper","sipper cups"
wajan,skillets
"skimmer untuk penggunaan dapur","skimmers for kitchen use"
"sikat lilin ski","ski wax brushes"
"sendok berlubang [peralatan dapur]","slotted spoons [kitchen utensils]"
"mug minum pintar","smart drinking mugs"
